user id,query number,query,"task (+ = re-attempt, repair = trying to recover from error made by previous query, * = trying to get the browser to focus on a component, which isn't supported)",success? + = yes,Chickenfoot command
87,37,safesearch no filtering,2.8,+,"select(xpath(/* safesearch no filter(html radiobutton)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/FONT[1]/INPUT[1]""), undefined)"
87,38,slashdot.org,3.1,+,"go(/*url*/ ""slashdot.org"")"
87,39,login,3.2,+,"click(xpath(/* log in(html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[5]""))"
87,40,bloopy,3.3,+,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,41,bloppy,3.4,,"enter(/*string*/ ""bloppy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,42,bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,43,password,3.4 *,,"click(xpath(/* password(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
87,44,back,repair,,back()
87,45,password bloppy,3.4,,"click(xpath(/* password bloppy(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
87,46,back,repair,,back()
87,47,nickname bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* nickname(html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,48,password asdf,3.4 *,,"click(xpath(/* password asdf(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
87,49,back,repair,,back()
87,50,Password asdf,3.4 *,,"click(xpath(/* password asdf(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
87,51,back,repair,,back()
87,52,6-20 bloppy,3.4,,"enter(/*string*/ ""6-20 bloppy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,53,bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,54,bloppy,3.4,,"enter(/*string*/ ""bloppy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,55,bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
87,56,public terminal,3.5,+,"select(xpath(/* public terminal(html checkbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/LABEL[3]/INPUT[1]""), undefined)"
87,57,log in,3.6,+,"click(xpath(/* log in(html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[4]""))"
87,58,ebay.com,4.1,+,"go(/*url*/ ""ebay.com"")"
87,59,regiester,4.2,+,"click(xpath(/* register(html link)*/ ""BODY[1]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/SPAN[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/SPAN[1]/SPAN[1]/A[1]""))"
87,60,stree address 777 Home Drive,4.3,+,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,61,state arizona,4.5,+,"select(xpath(/* arizona(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]/OPTION[4]""), xpath(/* state(html listbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]""))"
87,62,street address PO Box 777,4.4,,"enter(/*string*/ ""777"", xpath(/* street addres po(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,63,street address PO Box 777,4.4,,"enter(/*string*/ ""777"", xpath(/* street addres po(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,64,street address 777 Home Drive,4.4 *,,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,65,street address PO Box 777,4.4,,"enter(/*string*/ ""777"", xpath(/* street addres po(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,66,street address 777 Home Drive PO Box 777,4.4,,"enter(/*string*/ ""777 Home Drive PO Box 777"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,67,PO Box 777,4.4,,"enter(/*string*/ ""PO Box 777"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
87,68,back,repair,,back()
87,69,register,repair,,"click(xpath(/* register(html link)*/ ""BODY[1]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/SPAN[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/SPAN[1]/SPAN[1]/A[1]""))"
87,70,street address 777 Home Drive,repair,,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,71,street address 777 Home Drive \t PO Box 777,4.4,,"enter(/*string*/ ""777 Home Drive \\t PO Box 777"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,72,street address 777 Home Drive \n PO Box 777,4.4,,"enter(/*string*/ ""777 Home Drive \\n PO Box 777"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,73,street address 777 Home Drive,repair,,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
87,74,next 777,4.4,,"enter(/*string*/ ""777"", xpath(/* no keywords [next] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[2]/DIV[1]/INPUT[1]""))"
87,75,next 777,4.4,,"enter(/*string*/ ""777"", xpath(/* no keywords [next] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[2]/DIV[1]/INPUT[1]""))"
87,76,next 777,4.4,,"enter(/*string*/ ""777"", xpath(/* no keywords [next] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[2]/DIV[1]/INPUT[1]""))"
87,77,4 777,4.4,,"enter(/*string*/ ""777"", xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[3]/DIV[1]/INPUT[1]""))"
87,78,4 PO Box 777,4.4,+,"enter(/*string*/ ""PO Box 777"", xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[3]/DIV[1]/INPUT[1]""))"
87,79,2,typo?,,"click(xpath(/* no keywords [2] (html button)*/ ""BODY[1]/FORM[1]/DIV[6]/INPUT[1]""))"
87,80,state arizona,4.5,,"select(xpath(/* arizona(html listitem)*/ ""BODY[1]/FORM[1]/DIV[7]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]/OPTION[4]""), xpath(/* state(html listbox)*/ ""BODY[1]/FORM[1]/DIV[7]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]""))"
87,81,yahoo,5.1,,"enter(/*string*/ ""yahoo"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/DIV[7]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
87,82,yahoo.com,5.1,+,"go(/*url*/ ""yahoo.com"")"
87,83,mail sign up,5.2,+,"click(xpath(/* mail sign up(html link)*/ ""BODY[1]/DIV[1]/DIV[4]/DIV[1]/DIV[1]/H2[1]/SPAN[2]/A[1]""))"
87,84,mail sign up,repeat,,"click(xpath(/* mail sign up(html link)*/ ""BODY[1]/DIV[1]/DIV[4]/DIV[1]/DIV[1]/H2[1]/SPAN[2]/A[1]""))"
87,85,sign up for yahoo! Mail,5.3,+,"click(xpath(/* sign up for yahoo mail(html button)*/ ""BODY[1]/CENTER[1]/TABLE[2]/TBODY[1]/TR[6]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/FORM[1]/INPUT[1]""))"
87,86,your answer bloop,5.4,+,"enter(/*string*/ ""bloop"", xpath(/* you answer(html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[5]/TD[3]/INPUT[1]""))"
87,87,birthday april 28 2001,"5.5 +, 5.6, 5.7",,"select(xpath(/* april 28 2001(html listitem)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]/OPTION[5]""), xpath(/* birthday(html listbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]""))"
87,88,birthday 28,5.6,,"select(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/TABLE[1]/TBODY[1]/TR[7]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* birthday 28(html listbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]""))"
87,89,11 28,5.6,,"enter(/*string*/ ""28"", xpath(/* no keywords [11] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[8]/TD[2]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/INPUT[1]""))"
87,90,7 28,5.6,+,"enter(/*string*/ ""28"", xpath(/* no keywords [7] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/INPUT[1]""))"
87,91,8 2001,5.7,+,"enter(/*string*/ ""2001"", xpath(/* no keywords [8] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/INPUT[2]""))"
88,0,google,1.1,,"click(xpath(/* no keywords (html link)*/ ""BODY[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/A[1]""))"
88,1,www.google.com,1.1,+,"go(/*url*/ ""www.google.com"")"
88,2,mit I'm Feeling Lucky,"1.2 +, 1.3",,"enter(/*string*/ ""mit"", xpath(/* i m feel lucky(html textbox)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[2]""))"
88,3,click I'm Feeling Lucky,1.3,+,"click(xpath(/* i m feel lucky(html button)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[4]""))"
88,4,click OpenCourseWare,1.4,+,"click(xpath(/* open cours ware(html link)*/ ""BODY[1]/DIV[1]/DIV[3]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/A[2]""))"
88,5,click Advanced Search,1.5,+,"click(xpath(/* advanced search(html link)*/ ""BODY[1]/FORM[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/DIV[1]/DIV[3]/A[1]""))"
88,6,nothing without the words,1.6,+,"enter(/*string*/ ""nothing"", xpath(/* without the word(html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/INPUT[1]""))"
88,7,Calendar Limit,1.8,+,"select(xpath(/* cardinal limit(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[4]""), undefined)"
88,8,Any Section Limit,1.7,,"select(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* any section limit(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]""))"
88,9,"uncheck ""Any Section"" Limit",1.7 +,+,"deselect(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* any section limit(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]""))"
88,10,Sort by Date,1.9,+,"select(xpath(/* by date(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[10]/TD[3]/SELECT[1]/OPTION[2]""), xpath(/* str(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[10]/TD[3]/SELECT[1]""))"
88,11,Search,1.91,+,"click(xpath(/* search(html button)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[12]/TD[3]/INPUT[1]""))"
88,12,www.google.com,2.1,+,"go(/*url*/ ""www.google.com"")"
88,13,Images,2.2,+,"click(xpath(/* imag(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/FONT[1]/A[1]""))"
88,14,Advanced Image Search,2.3,+,"click(xpath(/* advanced imag search(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[3]/FONT[1]/A[1]""))"
88,15,related to all of the words lisa simpson,2.4,+,"enter(/*of the*/ quote(/*string*/ ""lisa simpson""), xpath(/* reload to all(html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
88,16,Return images that are large,2.5,+,"select(xpath(/* large(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/FONT[1]/SELECT[1]/OPTION[4]""), xpath(/* return image that area(html listbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/FONT[1]/SELECT[1]""))"
88,17,Return only image files formatted as GIF,2.6,+,"select(/*as*/ xpath(/* gif(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), xpath(/* return only image fill formatted(html listbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]""))"
88,18,Return only images in grayscale,2.7,+,"select(/*in*/ xpath(/* grayscale(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), xpath(/* return only image(html listbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]""))"
88,19,No filtering,2.8,+,"select(xpath(/* no filter(html radiobutton)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/FONT[1]/INPUT[1]""), undefined)"
88,20,slashdot.org,3.1,+,"go(/*url*/ ""slashdot.org"")"
88,21,Login,3.2,+,"click(xpath(/* log in(html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[5]""))"
88,22,Nickname bloopy,3.3,+,"enter(/*string*/ ""bloopy"", xpath(/* nickname(html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
88,23,password bloopy,3.4,,"click(xpath(/* password bloopy(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
88,24,back,repair,,back()
88,25,Password bloopy,3.4,,"click(xpath(/* password bloopy(html link)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/P[1]/A[1]""))"
88,26,back,repair,,back()
88,27,bloopy Password,3.4,,"enter(/*string*/ ""bloopy"", xpath(/* password(html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[3]""))"
88,28,Public Terminal,3.5,+,"select(xpath(/* public terminal(html checkbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/LABEL[3]/INPUT[1]""), undefined)"
88,29,Log in,3.6,+,"click(xpath(/* log in(html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[4]""))"
88,30,ebay.com,4.1,+,"go(/*url*/ ""ebay.com"")"
88,31,register,4.2,+,"click(xpath(/* register(html link)*/ ""BODY[1]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/SPAN[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/SPAN[1]/SPAN[1]/A[1]""))"
88,32,Street address 777 Home Drive,4.3,+,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
88,33,PO Box 777,4.4,,"enter(/*string*/ ""PO Box 777"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
88,34, First name,repair,,"select(xpath(/* first name(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[10]/SPAN[1]/DIV[2]/SELECT[1]/OPTION[4]""), undefined)"
88,35,First name,repair,,"select(xpath(/* first name(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[10]/SPAN[1]/DIV[2]/SELECT[1]/OPTION[4]""), undefined)"
88,36,"First name """"",repair,,"select(xpath(/* first name(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[10]/SPAN[1]/DIV[2]/SELECT[1]/OPTION[4]""), undefined)"
88,37,delete First Name,repair,,"deselect(xpath(/* first name(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[10]/SPAN[1]/DIV[2]/SELECT[1]/OPTION[4]""), undefined)"
88,38,State Arizona,4.5,+,"select(xpath(/* arizona(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]/OPTION[4]""), xpath(/* state(html listbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]""))"
88,39,First name empty,repair,,"enter(/*string*/ ""empty"", xpath(/* name[first] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
88,40,First name null,repair,,"enter(/*string*/ ""null"", xpath(/* name[first] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
88,41,erase First Name,repair,,"clear(xpath(/* name[first] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[1]/SPAN[1]/DIV[1]/INPUT[1]""))"
88,42,"Street address ""777 Home Drive"" ""PO Box 777""",4.4,,"enter(/*string*/ ""777 Home Drive\"" \""PO Box 777"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
88,43,"Street address ""777 Home Drive""",repair,,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres(html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
88,44,"Street address 2 ""777 Home Drive""",4.4,,"enter(/*string*/ ""777 Home Drive"", xpath(/* street addres[2] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[3]/DIV[1]/INPUT[1]""))"
88,45,"Street address 2 ""PO Box 777""",4.4 +,+,"enter(/*string*/ ""PO Box 777"", xpath(/* street addres[2] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[3]/DIV[1]/INPUT[1]""))"
88,46,www.yahoo.com,5.1,+,"go(/*url*/ ""www.yahoo.com"")"
88,47,Sign Up,5.2,+,"click(xpath(/* sign up(html link)*/ ""BODY[1]/DIV[1]/DIV[4]/DIV[1]/DIV[1]/H2[1]/SPAN[2]/A[1]""))"
88,48,Sign Up for Yahoo! Mail,5.3,+,"click(xpath(/* sign up for yahoo mail(html button)*/ ""BODY[1]/CENTER[1]/TABLE[2]/TBODY[1]/TR[6]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/FORM[1]/INPUT[1]""))"
88,49,Your answer bloop,5.4,+,"enter(/*string*/ ""bloop"", xpath(/* you answer(html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[5]/TD[3]/INPUT[1]""))"
88,50,Birthday April 28 2001,"5.5 +, 5.6, 5.7",,"select(xpath(/* april 28 2001(html listitem)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]/OPTION[5]""), xpath(/* birthday(html listbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]""))"
88,51,Birthday 2 28,5.6,,"select(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/TABLE[1]/TBODY[1]/TR[7]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* birthday 2 28(html listbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]""))"
88,52,2001,5.7,,"enter(/*string*/ ""2001"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/INPUT[1]""))"
88,53,erase First name,repair,,"clear(xpath(/* name[first] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/INPUT[1]""))"
